Variable,Long name,Standard name,Units
dissocos,Surface Dissolved Organic Carbon Concentration,mole_concentration_of_dissolved_organic_carbon_in_sea _water,mol m-3
dmc,Deep Convective Mass Flux,atmosphere_net_upward_deep_convective_mass_flux,kg m-2 s-1
dmlt,Depth to Soil Thaw,depth_at_shallowest_isotherm_defined_by_soil _temperature,m
dms,Dimethyl Sulphide (DMS) Mole Fraction,mole_fraction_of_dimethyl_sulfide_in_air,mol mol-1
dmso,Mole Concentration of Dimethyl Sulphide in Sea Water,mole_concentration_of_dimethyl_sulfide_in_sea_water,mol m-3
dmsos,Surface Mole Concentration of Dimethyl Sulphide in Sea Water,mole_concentration_of_dimethyl_sulfide_in_sea_water,mol m-3
dpco2,Delta CO2 Partial Pressure,surface_carbon_dioxide_partial_pressure_difference _between_sea_water_and_air,Pa
dpco2abio,Abiotic Delta Pco Partial Pressure,surface_carbon_dioxide_abiotic_analogue_partial _pressure_difference_between_sea_water_and_air,Pa
dpco2nat,Natural Delta CO2 Partial Pressure,surface_carbon_dioxide_natural_analogue_partial _pressure_difference_between_sea_water_and_air,Pa
dpo2,Delta O2 Partial Pressure,surface_molecular_oxygen_partial_pressure_difference _between_sea_water_and_air,Pa
drivw,Change in River Storage,change_over_time_in_river_water_amount,kg m-2
drybc,Dry Deposition Rate of Black Carbon Aerosol Mass,minus_tendency_of_atmosphere_mass_content_of_elemental _carbon_dry_aerosol_particles_due_to_dry_deposition,kg m-2 s-1
drydust,Dry Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry _aerosol_particles_due_to_dry_deposition,kg m-2 s-1
drynh3,Dry Deposition Rate of NH3,minus_tendency_of_atmosphere_mass_content_of_ammonia _due_to_dry_deposition,kg m-2 s-1
drynh4,Dry Deposition Rate of NH4,minus_tendency_of_atmosphere_mass_content_of_ammonium _dry_aerosol_particles_due_to_dry_deposition,kg m-2 s-1
drynoy,Dry Deposition Rate of NOy,minus_tendency_of_atmosphere_mass_content_of_noy _expressed_as_nitrogen_due_to_dry_deposition,kg m-2 s-1
dryo3,Dry Deposition Rate of O3,minus_tendency_of_atmosphere_mass_content_of_ozone_due _to_dry_deposition,kg m-2 s-1
dryoa,Dry Deposition Rate of Dry Aerosol Total Organic Matter,minus_tendency_of_atmosphere_mass_content_of _particulate_organic_matter_dry_aerosol_particles_due_to _dry_deposition,kg m-2 s-1
dryso2,Dry Deposition Rate of SO2,minus_tendency_of_atmosphere_mass_content_of_sulfur _dioxide_due_to_dry_deposition,kg m-2 s-1
dryso4,Dry Deposition Rate of SO4,minus_tendency_of_atmosphere_mass_content_of_sulfate _dry_aerosol_particles_due_to_dry_deposition,kg m-2 s-1
dryss,Dry Deposition Rate of Sea-Salt Aerosol,minus_tendency_of_atmosphere_mass_content_of_sea_salt _dry_aerosol_particles_due_to_dry_deposition,kg m-2 s-1
dslw,Change in Soil Moisture,change_over_time_in_mass_content_of_water_in_soil,kg m-2
dsn,Change in Snow Water Equivalent,change_over_time_in_amount_of_ice_and_snow_on_land,kg m-2
dsw,Change in Surface Water Storage,change_over_time_in_land_water_amount,kg m-2
dtauc,Convective Cloud Optical Depth,atmosphere_optical_thickness_due_to_convective_cloud,Dimensionless
dtaus,Stratiform Cloud Optical Depth,atmosphere_optical_thickness_due_to_stratiform_cloud,Dimensionless
dtes,Change in Surface Heat Storage,change_over_time_in_thermal_energy_content_of _vegetation_and_litter_and_soil,J m-2
dtesn,Change in Snow and Ice Cold Content,change_over_time_in_thermal_energy_content_of_ice_and _snow_on_land,J m-2
ec,Interception Evaporation,water_evaporation_flux_from_canopy,kg m-2 s-1
ec550aer,Aerosol Extinction Coefficient,volume_extinction_coefficient_in_air_due_to_ambient _aerosol_particles,m-1
edt,Eddy Diffusivity Coefficient for Temperature,atmosphere_heat_diffusivity,m2 s-1
emiaco,Total Emission Rate of Anthropogenic CO,tendency_of_atmosphere_mass_content_of_carbon_monoxide _due_to_emission,kg m-2 s-1
emianox,Total Emission Rate of Anthropogenic NOx,tendency_of_atmosphere_mass_content_of_nox_expressed_as _nitrogen_due_to_emission,kg m-2 s-1
emiaoa,Total Emission Rate of Anthropogenic Organic Aerosol,tendency_of_atmosphere_mass_content_of_particulate _organic_matter_dry_aerosol_particles_due_to_net _chemical_production_and_emission,kg m-2 s-1
emibc,Total Emission Rate of Black Carbon Aerosol Mass,tendency_of_atmosphere_mass_content_of_elemental_carbon _dry_aerosol_particles_due_to_emission,kg m-2 s-1
emibvoc,Total Emission Rate of Biogenic NMVOC,tendency_of_atmosphere_mass_content_of_biogenic_nmvoc _expressed_as_carbon_due_to_emission,kg m-2 s-1
emico,Total Emission Rate of CO,tendency_of_atmosphere_mass_content_of_carbon_monoxide _due_to_emission,kg m-2 s-1
emidms,Total Emission Rate of DMS,tendency_of_atmosphere_mass_content_of_dimethyl_sulfide _due_to_emission,kg m-2 s-1
emidust,Total Emission Rate of Dust,tendency_of_atmosphere_mass_content_of_dust_dry_aerosol _particles_due_to_emission,kg m-2 s-1
emiisop,Total Emission Rate of Isoprene,tendency_of_atmosphere_mass_content_of_isoprene_due_to _emission,kg m-2 s-1
emilnox,Layer-Integrated Lightning Production of NOx,tendency_of_atmosphere_moles_of_nox_expressed_as _nitrogen,mol s-1
eminh3,Total Emission Rate of NH3,tendency_of_atmosphere_mass_content_of_ammonia_due_to _emission,kg m-2 s-1
eminox,Total Emission Rate of NOx,tendency_of_atmosphere_mass_content_of_nox_expressed_as _nitrogen_due_to_emission,kg m-2 s-1
emioa,Primary Emission and Chemical Production of Dry Aerosol Organic Matter,tendency_of_atmosphere_mass_content_of_particulate _organic_matter_dry_aerosol_particles_due_to_net _chemical_production_and_emission,kg m-2 s-1
emiso2,Total Emission Rate of SO2,tendency_of_atmosphere_mass_content_of_sulfur_dioxide _due_to_emission,kg m-2 s-1
emiso4,Total Direct Emission Rate of SO4,tendency_of_atmosphere_mass_content_of_sulfate_dry _aerosol_particles_due_to_emission,kg m-2 s-1
emiss,Total Emission Rate of Sea-Salt Aerosol,tendency_of_atmosphere_mass_content_of_sea_salt_dry _aerosol_particles_due_to_emission,kg m-2 s-1
emivoc,Total Emission Rate of NMVOC,tendency_of_atmosphere_mass_content_of_nmvoc_due_to _emission,kg m-2 s-1
eow,Open Water Evaporation,surface_water_evaporation_flux,kg m-2 s-1
eparag100,Downward Flux of Aragonite,sinking_mole_flux_of_aragonite_expressed_as_carbon_in _sea_water,mol m-2 s-1
epc100,Downward Flux of Particulate Organic Carbon,sinking_mole_flux_of_particulate_organic_matter _expressed_as_carbon_in_sea_water,mol m-2 s-1
epcalc100,Downward Flux of Calcite,sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea _water,mol m-2 s-1
epfe100,Downward Flux of Particulate Iron,sinking_mole_flux_of_particulate_iron_in_sea_water,mol m-2 s-1
epfy,Northward Component of the Eliassen-Palm Flux,northward_eliassen_palm_flux_in_air,m3 s-2
epfz,Upward Component of the Eliassen-Palm Flux,upward_eliassen_palm_flux_in_air,m3 s-2
epn100,Downward Flux of Particulate Nitrogen,sinking_mole_flux_of_particulate_organic_nitrogen_in _sea_water,mol m-2 s-1
epp100,Downward Flux of Particulate Phosphorus,sinking_mole_flux_of_particulate_organic_phosphorus_in _sea_water,mol m-2 s-1
epsi100,Downward Flux of Particulate Silicon,sinking_mole_flux_of_particulate_silicon_in_sea_water,mol m-2 s-1
es,Bare Soil Evaporation,water_evaporation_flux_from_soil,kg m-2 s-1
esn,Snow Evaporation,water_evapotranspiration_flux,kg m-2 s-1
evs,Water Evaporation Flux Where Ice Free Ocean over Sea,water_evapotranspiration_flux,kg m-2 s-1
evspsbl,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,kg m-2 s-1
evspsblpot,Potential Evapotranspiration,water_potential_evaporation_flux,kg m-2 s-1
evspsblsoi,Water Evaporation from Soil,water_evaporation_flux_from_soil,kg m-2 s-1
evspsblveg,Evaporation from Canopy,water_evaporation_flux_from_canopy,kg m-2 s-1
evu,Eddy Viscosity Coefficient for Momentum,atmosphere_momentum_diffusivity,m2 s-1
exparag,Downward Flux of Aragonite,sinking_mole_flux_of_aragonite_expressed_as_carbon_in _sea_water,mol m-2 s-1
expc,Downward Flux of Particulate Organic Carbon,sinking_mole_flux_of_particulate_organic_matter _expressed_as_carbon_in_sea_water,mol m-2 s-1
expcalc,Downward Flux of Calcite,sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea _water,mol m-2 s-1
expfe,Sinking Particulate Iron Flux,sinking_mole_flux_of_particulate_iron_in_sea_water,mol m-2 s-1
expn,Sinking Particulate Organic Nitrogen Flux,sinking_mole_flux_of_particulate_organic_nitrogen_in _sea_water,mol m-2 s-1
expp,Sinking Particulate Organic Phosphorus Flux,sinking_mole_flux_of_particulate_organic_phosphorus_in _sea_water,mol m-2 s-1
expsi,Sinking Particulate Silicon Flux,sinking_mole_flux_of_particulate_silicon_in_sea_water,mol m-2 s-1
fahLut,Anthropogenic Heat Flux Generated from non-Renewable Human Primary Energy Consumption,surface_upward_heat_flux_due_to_anthropogenic_energy _consumption,W m-2
fAnthDisturb,"Carbon Mass Flux from Vegetation, Litter or Soil Pools into the Atmosphere Due to any Human Activity [kgC m-2 s-1]",tendency_of_atmosphere_mass_content_of_carbon_dioxide _expressed_as_carbon_due_to_anthropogenic_emission,kg m-2 s-1
fbddtalk,Rate of Change of Biological Alkalinity Due to Biological Activity,integral_wrt_depth_of_tendency_of_sea_water_alkalinity _expressed_as_mole_equivalent_due_to_biological _processes,mol m-2 s-1
fbddtdic,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,tendency_of_ocean_mole_content_of_dissolved_inorganic _carbon_due_to_biological_processes,mol m-2 s-1
fbddtdife,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity,tendency_of_ocean_mole_content_of_dissolved_inorganic _iron_due_to_biological_processes,mol m-2 s-1
fbddtdin,Rate of Change of Dissolved Inorganic Nitrogen Due to Biological Activity,tendency_of_ocean_mole_content_of_dissolved_inorganic _nitrogen_due_to_biological_processes,mol m-2 s-1
fbddtdip,Rate of Change of Dissolved Inorganic Phosphorus Due to Biological Activity,tendency_of_ocean_mole_content_of_dissolved_inorganic _phosphorus_due_to_biological_processes,mol m-2 s-1
fbddtdisi,Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity,tendency_of_ocean_mole_content_of_dissolved_inorganic _silicon_due_to_biological_processes,mol m-2 s-1
fBNF,Biological Nitrogen Fixation,tendency_of_soil_and_vegetation_mass_content_of _nitrogen_compounds_expressed_as_nitrogen_due_to _fixation,kg m-2 s-1
fCLandToOcean,Lateral Transfer of Carbon out of Grid Cell That Eventually Goes into Ocean,mass_flux_of_carbon_into_sea_water_from_rivers,kg m-2 s-1
fco2antt,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2 [kgC m-2 s-1],tendency_of_atmosphere_mass_content_of_carbon_dioxide _expressed_as_carbon_due_to_anthropogenic_emission,kg m-2 s-1
fco2fos,Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2 [kgC m-2 s-1],tendency_of_atmosphere_mass_content_of_carbon_dioxide _expressed_as_carbon_due_to_emission_from_fossil_fuel _combustion,kg m-2 s-1
fco2nat,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_emission_from_natural_sources,kg m-2 s-1
fddtalk,Rate of Change of Total Alkalinity,integral_wrt_depth_of_tendency_of_sea_water_alkalinity _expressed_as_mole_equivalent,mol m-2 s-1
fddtdic,Rate of Change of Net Dissolved Inorganic Carbon,tendency_of_ocean_mole_content_of_dissolved_inorganic _carbon,mol m-2 s-1
fddtdife,Rate of Change of Net Dissolved Inorganic Iron,tendency_of_ocean_mole_content_of_dissolved_inorganic _iron,mol m-2 s-1
fddtdin,Rate of Change of Net Dissolved Inorganic Nitrogen,tendency_of_ocean_mole_content_of_dissolved_inorganic _nitrogen,mol m-2 s-1
fddtdip,Rate of Change of Net Dissolved Inorganic Phosphorus,tendency_of_ocean_mole_content_of_dissolved_inorganic _phosphorus,mol m-2 s-1
fddtdisi,Rate of Change of Net Dissolved Inorganic Silicon,tendency_of_ocean_mole_content_of_dissolved_inorganic _silicon,mol m-2 s-1
fDeforestToAtmos,Deforested Biomass That Goes into Atmosphere as a Result of Anthropogenic Land-Use Change [kgC m-2 s-1],surface_net_upward_mass_flux_of_carbon_dioxide _expressed_as_carbon_due_to_emission_from_anthropogenic _land_use_change,kg m-2 s-1
fDeforestToProduct,Deforested Biomass That Goes into Product Pool as a Result of Anthropogenic Land-Use Change,carbon_mass_flux_into_forestry_and_agricultural _products_due_to_anthropogenic_land_use_or_land_cover _change,kg m-2 s-1
fediss,Particulate Source of Dissolved Iron,tendency_of_mole_concentration_of_dissolved_iron_in_sea _water_due_to_dissolution_from_inorganic_particles,mol m-3 s-1
fescav,Non-Biogenic Iron Scavenging,tendency_of_mole_concentration_of_dissolved_iron_in_sea _water_due_to_scavenging_by_inorganic_particles,mol m-3 s-1
fFire,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Excluding Land-Use Change [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_emission_from_fires_excluding _anthropogenic_land_use_change,kg m-2 s-1
fFireAll,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Including All Sources [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_emission_from_fires,kg m-2 s-1
fFireNat,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Natural Fire [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_emission_from_natural_fires,kg m-2 s-1
fg13co2,Surface Downward Mass Flux of Carbon-13 as 13CO2 [kgC m-2 s-1],surface_downward_mass_flux_of_13C_dioxide_abiotic _analogue_expressed_as_13C,kg m-2 s-1
fg14co2,Surface Downward Mass Flux of Carbon-14 as 14CO2 [kgC m-2 s-1],surface_downward_mass_flux_of_14C_dioxide_abiotic _analogue_expressed_as_carbon,kg m-2 s-1
fg14co2abio,Surface Downward Mass Flux of Carbon-14 as Abiotic 14CO2 [kgC m-2 s-1],surface_downward_mass_flux_of_14C_dioxide_abiotic _analogue_expressed_as_carbon,kg m-2 s-1
fgcfc11,Surface Downward CFC11 Flux,surface_downward_mole_flux_of_cfc11,mol m-2 s-1
fgcfc12,Surface Downward CFC12 Flux,surface_downward_mole_flux_of_cfc12,mol m-2 s-1
fgco2,Surface Downward Mass Flux of Carbon as CO2 [kgC m-2 s-1],surface_downward_mass_flux_of_carbon_dioxide_expressed _as_carbon,kg m-2 s-1
fgco2abio,Surface Downward Mass Flux of Carbon as Abiotic CO2 [kgC m-2 s-1],surface_downward_mass_flux_of_carbon_dioxide_abiotic _analogue_expressed_as_carbon,kg m-2 s-1
fgco2nat,Surface Downward Mass Flux of Carbon as Natural CO2 [kgC m-2 s-1],surface_downward_mass_flux_of_carbon_dioxide_natural _analogue_expressed_as_carbon,kg m-2 s-1
fgdms,Surface Upward Flux of DMS,surface_upward_mole_flux_of_dimethyl_sulfide,mol m-2 s-1
fgo2,Surface Downward Flux of O2,surface_downward_mole_flux_of_molecular_oxygen,mol m-2 s-1
fGrazing,Carbon Mass Flux into Atmosphere Due to Grazing on Land [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_emission_from_grazing,kg m-2 s-1
fgsf6,Surface Downward SF6 Flux,surface_downward_mole_flux_of_sulfur_hexafluoride,mol m-2 s-1
fHarvest,Carbon Mass Flux into Atmosphere Due to Crop Harvesting [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_emission_from_crop_harvesting,kg m-2 s-1
fHarvestToAtmos,Harvested Biomass That Goes Straight into Atmosphere as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_emission_from_crop_harvesting,kg m-2 s-1
fHarvestToProduct,Harvested Biomass That Goes into Product Pool,mass_flux_of_carbon_into_forestry_and_agricultural _products_due_to_crop_harvesting,kg m-2 s-1
ficeberg,Water Flux into Sea Water from Icebergs,water_flux_into_sea_water_from_icebergs,kg m-2 s-1
ficeberg2d,Water Flux into Sea Water from Icebergs,water_flux_into_sea_water_from_icebergs,kg m-2 s-1
flandice,Water Flux into Sea Water from Land Ice,water_flux_into_sea_water_from_land_ice,kg m-2 s-1
flashrate,Lightning Flash Rate,frequency_of_lightning_flashes_per_unit_area,km-2 s-1
fldcapacity,Field Capacity,volume_fraction_of_condensed_water_in_soil_at_field _capacity,%
fLitterFire,"Carbon Mass Flux from Litter, CWD or any non-Living Pool into Atmosphere Due to CO2 Emission from All Fire [kgC m-2 s-1]",surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_emission_from_litter_in_fires,kg m-2 s-1
fLitterSoil,Total Carbon Mass Flux from Litter to Soil,carbon_mass_flux_into_soil_from_litter,kg m-2 s-1
fLuc,Net Carbon Mass Flux into Atmosphere Due to Land-Use Change [kgC m-2 s-1],surface_net_upward_mass_flux_of_carbon_dioxide _expressed_as_carbon_due_to_emission_from_anthropogenic _land_use_change,kg m-2 s-1
fLulccAtmLut,Carbon Transferred Directly to Atmosphere Due to any Land-Use or Land-Cover Change Activities [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_anthropogenic_land_use_or_land_cover _change_excluding_forestry_and_agricultural_products,kg m-2 s-1
fLulccProductLut,Carbon Harvested Due to Land-Use or Land-Cover Change Process That Enters Anthropogenic Product Pools on Tile,carbon_mass_flux_into_forestry_and_agricultural _products_due_to_anthropogenic_land_use_or_land_cover _change,kg m-2 s-1
fLulccResidueLut,Carbon Transferred to Soil or Litter Pools Due to Land-Use or Land-Cover Change Processes on Tile,carbon_mass_flux_into_litter_and_soil_due_to _anthropogenic_land_use_or_land_cover_change,kg m-2 s-1
fN2O,Total Land N2O Flux,surface_upward_mass_flux_of_nitrous_oxide_expressed_as _nitrogen_out_of_vegetation_and_litter_and_soil,kg m-2 s-1
fNAnthDisturb,Nitrogen Mass Flux out of Land Due to any Human Activity,tendency_of_atmosphere_mass_content_of_nitrogen _compounds_expressed_as_nitrogen_due_to_anthropogenic _emission,kg m-2 s-1
fNdep,Dry and Wet Deposition of Reactive Nitrogen onto Land,minus_tendency_of_atmosphere_mass_content_of_nitrogen _compounds_expressed_as_nitrogen_due_to_deposition,kg m-2 s-1
fNfert,Total Nitrogen Added for Cropland Fertilisation (Artificial and Manure),tendency_of_soil_mass_content_of_nitrogen_compounds _expressed_as_nitrogen_due_to_fertilization,kg m-2 s-1
fNgas,"Total Nitrogen Lost to the Atmosphere (Sum of NHx, NOx, N2O, N2)",surface_upward_mass_flux_of_nitrogen_compounds _expressed_as_nitrogen,kg m-2 s-1
fNgasFire,"Total Nitrogen Lost to the Atmosphere (Including NHx, NOx, N2O, N2) from Fire",surface_upward_mass_flux_of_nitrogen_compounds _expressed_as_nitrogen_due_to_emission_from_fires,kg m-2 s-1
fNgasNonFire,"Total Nitrogen Lost to the Atmosphere (Including NHx, NOx, N2O, N2) from All Processes Except Fire",surface_upward_mass_flux_of_nitrogen_compounds _expressed_as_nitrogen_due_to_all_land_processes _excluding_fires,kg m-2 s-1
fNLandToOcean,Lateral Transfer of Nitrogen out of Grid Cell That Eventually Goes into Ocean,mass_flux_of_nitrogen_compounds_expressed_as_nitrogen _into_sea_from_rivers,kg m-2 s-1
fNleach,"Total Nitrogen Loss to Leaching or Runoff (Sum of Ammonium, Nitrite and Nitrate)",mass_flux_of_carbon_out_of_soil_due_to_leaching_and _runoff,kg m-2 s-1
fNLitterSoil,Total Nitrogen Mass Flux from Litter to Soil,nitrogen_mass_flux_into_soil_from_litter,kg m-2 s-1
fNloss,"Total Nitrogen Lost (Including NHx, NOx, N2O, N2 and Leaching)",surface_upward_mass_flux_of_nitrogen_compounds _expressed_as_nitrogen_out_of_vegetation_and_litter_and _soil,kg m-2 s-1
fNnetmin,Net Nitrogen Release from Soil and Litter as the Outcome of Nitrogen Immobilisation and Gross Mineralisation,mass_flux_of_nitrogen_compounds_expressed_as_nitrogen _out_of_litter_and_soil_due_to_immobilisation_and _remineralization,kg m-2 s-1
fNOx,Total Land NOx Flux,surface_upward_mass_flux_of_nox_expressed_as_nitrogen _out_of_vegetation_and_litter_and_soil,kg m-2 s-1
fNProduct,Deforested or Harvested Biomass as a Result of Anthropogenic Land-Use or Change,nitrogen_mass_flux_into_forestry_and_agricultural _products_due_to_anthropogenic_land_use_or_land_cover _change,kg m-2 s-1
fNup,Total Plant Nitrogen Uptake (Sum of Ammonium and Nitrate) Irrespective of the Source of Nitrogen,tendency_of_vegetation_mass_content_of_nitrogen _compounds_expressed_as_nitrogen_due_to_fixation,kg m-2 s-1
fNVegLitter,Total Nitrogen Mass Flux from Vegetation to Litter,nitrogen_mass_flux_into_litter_from_vegetation,kg m-2 s-1
fNVegSoil,Total Nitrogen Mass Flux from Vegetation Directly to Soil,nitrogen_mass_flux_into_soil_from_vegetation_excluding _litter,kg m-2 s-1
fProductDecomp,Decomposition out of Product Pools to CO2 in Atmosphere as Carbon Mass Flux [kgC m-2 s-1],tendency_of_atmosphere_mass_content_of_carbon_dioxide _expressed_as_carbon_due_to_emission_from_forestry_and _agricultural_products,kg m-2 s-1
fProductDecompLut,Net Carbon Mass Flux from Wood and Agricultural Product Pools on Land Use Tile into Atmosphere [kgC m-2 s-1],tendency_of_atmosphere_mass_content_of_carbon_dioxide _expressed_as_carbon_due_to_emission_from_forestry_and _agricultural_products,kg m-2 s-1
fracInLut,Annual Gross Percentage That Was Transferred into This Tile from Other Land-Use Tiles,area_fraction,%
fracLut,Percentage of Grid Cell for Each Land-Use Tile,area_fraction,%
fracOutLut,Annual Gross Percentage of Land-Use Tile That Was Transferred into Other Land-Use Tiles,area_fraction,%
frfe,Iron Loss to Sediments,minus_tendency_of_ocean_mole_content_of_iron_due_to _sedimentation,mol m-2 s-1
fric,Downward Inorganic Carbon Flux at Ocean Bottom,minus_tendency_of_ocean_mole_content_of_inorganic _carbon_due_to_sedimentation,mol m-2 s-1
friver,Water Flux into Sea Water from Rivers,water_flux_into_sea_water_from_rivers,kg m-2 s-1
frn,Nitrogen Loss to Sediments and Through Denitrification,minus_tendency_of_ocean_mole_content_of_elemental _nitrogen_due_to_denitrification_and_sedimentation,mol m-2 s-1
froc,Downward Organic Carbon Flux at Ocean Bottom,minus_tendency_of_ocean_mole_content_of_organic_carbon _due_to_sedimentation,mol m-2 s-1
fsfe,Surface Downward Net Flux of Iron,tendency_of_ocean_mole_content_of_iron_due_to _deposition_and_runoff_and_sediment_dissolution,mol m-2 s-1
fsitherm,Water Flux into Sea Water Due to Sea Ice Thermodynamics,water_flux_into_sea_water_due_to_sea_ice_thermodynamics,kg m-2 s-1
fsn,Surface Downward Net Flux of Nitrogen,tendency_of_ocean_mole_content_of_elemental_nitrogen _due_to_deposition_and_fixation_and_runoff,mol m-2 s-1
fVegFire,Carbon Mass Flux from Vegetation into Atmosphere Due to CO2 Emission from All Fire [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_emission_from_vegetation_in_fires,kg m-2 s-1
fVegLitter,Total Carbon Mass Flux from Vegetation to Litter,mass_flux_of_carbon_into_litter_from_vegetation,kg m-2 s-1
fVegLitterMortality,Total Carbon Mass Flux from Vegetation to Litter as a Result of Mortality,mass_flux_of_carbon_into_litter_from_vegetation_due_to _mortality,kg m-2 s-1
fVegLitterSenescence,"Total Carbon Mass Flux from Vegetation to Litter as a Result of Leaf, Branch, and Root Senescence",mass_flux_of_carbon_into_litter_from_vegetation_due_to _senescence,kg m-2 s-1
fVegSoil,Total Carbon Mass Flux from Vegetation Directly to Soil,carbon_mass_flux_into_soil_from_vegetation_excluding _litter,kg m-2 s-1
fVegSoilMortality,Total Carbon Mass Flux from Vegetation to Soil as a Result of Mortality,mass_flux_of_carbon_into_soil_from_vegetation_due_to _mortality,kg m-2 s-1
fVegSoilSenescence,"Total Carbon Mass Flux from Vegetation to Soil as a Result of Leaf, Branch, and Root Senescence",mass_flux_of_carbon_into_soil_from_vegetation_due_to _senescence,kg m-2 s-1
gpp,Carbon Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],gross_primary_productivity_of_biomass_expressed_as _carbon,kg m-2 s-1
gppc13,Carbon-13 Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],gross_primary_productivity_of_biomass_expressed_as_13C,kg m-2 s-1
gppc14,Carbon-14 Mass Flux out of Atmosphere Due to Gross Primary Production on Land [kgC m-2 s-1],gross_primary_productivity_of_biomass_expressed_as_14C,kg m-2 s-1
gppGrass,Gross Primary Production on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],gross_primary_productivity_of_biomass_expressed_as _carbon,kg m-2 s-1
gppLut,Gross Primary Production on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],gross_primary_productivity_of_biomass_expressed_as _carbon,kg m-2 s-1
gppShrub,Gross Primary Production on Shrub Tiles as Carbon Mass Flux [kgC m-2 s-1],gross_primary_productivity_of_biomass_expressed_as _carbon,kg m-2 s-1
gppTree,Gross Primary Production on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],gross_primary_productivity_of_biomass_expressed_as _carbon,kg m-2 s-1
grassFrac,Natural Grass Area Percentage,area_fraction,%
grassFracC3,C3 Natural Grass Area Percentage,area_fraction,%
grassFracC4,C4 Natural Grass Area Percentage,area_fraction,%
graz,Total Grazing of Phytoplankton by Zooplankton,tendency_of_mole_concentration_of_particulate_organic _matter_expressed_as_carbon_in_sea_water_due_to_grazing _of_phytoplankton,mol m-3 s-1
grpllsprof,Stratiform Graupel Flux,stratiform_graupel_flux,kg m-2 s-1
grplmxrat27,Graupel Mixing Ratio,mass_fraction_of_graupel_in_air,Dimensionless
h2o,Mass Fraction of Water,mass_fraction_of_water_in_air,Dimensionless
hcfc22global,Global Mean Mole Fraction of HCFC22,mole_fraction_of_hcfc22_in_air,1.00E-12
hcho,Formaldehyde Volume Mixing Ratio,mole_fraction_of_formaldehyde_in_air,mol mol-1
hcl,HCl Volume Mixing Ratio,mole_fraction_of_hydrogen_chloride_in_air,mol mol-1
hfbasin,Northward Ocean Heat Transport,northward_ocean_heat_transport,W
hfbasinpadv,Northward Ocean Heat Transport Due to Parameterized Eddy Advection,northward_ocean_heat_transport_due_to_parameterized _eddy_advection,W
hfbasinpmadv,Northward Ocean Heat Transport Due to Parameterized Mesoscale Advection,northward_ocean_heat_transport_due_to_parameterized _mesoscale_eddy_advection,W
hfbasinpmdiff,Northward Ocean Heat Transport Due to Parameterized Mesoscale Diffusion,northward_ocean_heat_transport_due_to_parameterized _mesoscale_eddy_diffusion,W
hfbasinpsmadv,Northward Ocean Heat Transport Due to Parameterized Submesoscale Advection,northward_ocean_heat_transport_due_to_parameterized _submesoscale_eddy_advection,W
hfcorr,Heat Flux Correction,heat_flux_correction,W m-2
hfds,Downward Heat Flux at Sea Water Surface,surface_downward_heat_flux_in_sea_water,W m-2
hfdsl,Downward Heat Flux at Land Surface,surface_downward_heat_flux_in_air,W m-2
hfdsn,Downward Heat Flux into Snow Where Land over Land,surface_downward_heat_flux_in_snow,W m-2
hfdsnb,Downward Heat Flux at Snow Base,downward_heat_flux_at_ground_level_in_snow,W m-2
hfevapds,Temperature Flux Due to Evaporation Expressed as Heat Flux out of Sea Water,temperature_flux_due_to_evaporation_expressed_as_heat _flux_out_of_sea_water,W m-2
